CustomerID,Gender,Age,AnnualIncome,SpendingScore,TimeSpentInMall,VisitsPerMonth,DistanceFromHome,HasCreditCard,Churn
117.0,Male,27.0,34334.0,63.0,174.0,,10.61,No,
,Female,50.0,114715.0,3.0,148.0,28.0,17.0,Yes,
119.0,Female,67.0,82767.0,49.0,285.0,6.0,28.13,No,No
120.0,,22.0,26644.0,55.0,62.0,11.0,29.7,Yes,Yes
,Female,,121154.0,26.0,184.0,16.0,18.68,Yes,No
,Male,66.0,133237.0,99.0,119.0,5.0,14.07,No,Yes
123.0,Female,52.0,52933.0,72.0,212.0,16.0,13.76,No,Yes
124.0,Male,61.0,146366.0,,145.0,7.0,8.82,Yes,Yes
125.0,Male,51.0,63469.0,7.0,13.0,19.0,,Yes,Yes
126.0,Female,50.0,53687.0,46.0,,1.0,,,No
127.0,Female,38.0,126609.0,,181.0,9.0,31.73,No,No
128.0,Male,34.0,72656.0,16.0,,18.0,28.5,No,
129.0,Female,39.0,37375.0,24.0,103.0,13.0,19.19,Yes,Yes
130.0,,65.0,134019.0,61.0,57.0,,16.36,Yes,No
131.0,,54.0,140735.0,54.0,249.0,15.0,11.96,Yes,No
132.0,Male,32.0,85206.0,62.0,222.0,3.0,26.82,No,No
133.0,Male,52.0,,1.0,148.0,24.0,45.95,,No
134.0,Male,45.0,56607.0,49.0,214.0,28.0,,Yes,No
135.0,Male,24.0,103178.0,25.0,82.0,10.0,37.25,Yes,
136.0,Male,49.0,43993.0,10.0,,9.0,41.74,Yes,Yes
,Male,28.0,64386.0,80.0,85.0,,17.65,,
138.0,Male,27.0,143394.0,16.0,,16.0,3.24,Yes,
139.0,Male,26.0,,58.0,265.0,3.0,31.17,No,No
140.0,Male,31.0,106724.0,72.0,111.0,22.0,9.51,No,No
141.0,Female,30.0,118132.0,29.0,115.0,23.0,28.5,,Yes
142.0,Male,42.0,113308.0,92.0,48.0,15.0,37.0,No,Yes
143.0,Female,19.0,,6.0,,17.0,39.2,Yes,No
144.0,,52.0,147314.0,16.0,97.0,14.0,15.16,Yes,Yes
145.0,Female,24.0,,20.0,220.0,,25.67,Yes,Yes
146.0,Male,,118371.0,80.0,86.0,20.0,31.09,Yes,No
147.0,Male,35.0,95324.0,71.0,86.0,16.0,40.99,,
148.0,Male,20.0,91196.0,78.0,37.0,21.0,,,No
149.0,Male,59.0,90014.0,43.0,254.0,8.0,49.4,No,Yes
,Female,56.0,28210.0,26.0,75.0,4.0,0.5,Yes,
151.0,Male,58.0,30922.0,90.0,,20.0,21.93,No,No
152.0,Male,66.0,56289.0,78.0,214.0,24.0,12.88,,Yes
,Male,28.0,149097.0,71.0,67.0,15.0,6.08,,
154.0,,56.0,,33.0,210.0,5.0,45.58,No,Yes
155.0,Male,41.0,59850.0,26.0,234.0,13.0,,Yes,Yes
,Female,63.0,76984.0,45.0,151.0,6.0,9.11,No,Yes
157.0,Male,36.0,123699.0,84.0,93.0,,2.02,No,Yes
158.0,,21.0,133711.0,63.0,152.0,27.0,13.83,No,No
,Male,43.0,104178.0,67.0,42.0,5.0,41.76,Yes,
160.0,Female,55.0,31094.0,52.0,161.0,17.0,14.77,,No
161.0,,59.0,107959.0,68.0,167.0,7.0,2.94,,No
162.0,Male,49.0,,26.0,150.0,6.0,2.72,No,
163.0,,56.0,25741.0,75.0,260.0,2.0,,,
,Female,62.0,131585.0,2.0,121.0,11.0,46.6,No,No
165.0,Female,63.0,92374.0,14.0,153.0,7.0,14.37,,Yes
166.0,,53.0,137275.0,30.0,218.0,,21.42,No,
167.0,Female,57.0,142564.0,,233.0,21.0,,No,Yes
168.0,Male,54.0,88798.0,12.0,52.0,8.0,24.73,No,Yes
169.0,Male,50.0,136026.0,90.0,273.0,5.0,34.86,Yes,Yes
170.0,Female,53.0,90532.0,44.0,,27.0,,No,No
171.0,Female,20.0,,33.0,12.0,18.0,14.91,No,No
,,26.0,42164.0,13.0,134.0,22.0,42.11,No,No
173.0,Male,25.0,55595.0,78.0,277.0,16.0,,No,No
174.0,Female,50.0,50257.0,88.0,93.0,,31.86,No,Yes
175.0,Female,23.0,34211.0,98.0,25.0,12.0,19.75,Yes,No
176.0,Female,,115989.0,26.0,68.0,17.0,14.99,Yes,No
177.0,Male,56.0,,21.0,186.0,5.0,32.91,Yes,Yes
178.0,Male,21.0,,28.0,72.0,14.0,41.75,Yes,Yes
179.0,Male,,72691.0,48.0,58.0,6.0,27.96,No,Yes
180.0,,66.0,109765.0,40.0,255.0,15.0,1.65,No,Yes
181.0,,19.0,99768.0,66.0,298.0,7.0,23.12,No,Yes
182.0,Male,22.0,45613.0,73.0,295.0,14.0,23.19,Yes,Yes
183.0,Female,61.0,34026.0,87.0,24.0,18.0,,Yes,Yes
184.0,,44.0,73535.0,,264.0,1.0,33.58,Yes,No
,,49.0,114090.0,77.0,101.0,6.0,1.06,Yes,No
186.0,Male,38.0,,23.0,288.0,3.0,25.15,No,Yes
187.0,Female,,72113.0,81.0,215.0,5.0,29.46,No,Yes
188.0,Male,55.0,39610.0,48.0,103.0,12.0,17.23,Yes,No
189.0,Male,25.0,66646.0,2.0,234.0,11.0,33.45,No,Yes
190.0,Female,67.0,,84.0,208.0,13.0,11.49,Yes,Yes
191.0,,20.0,83185.0,20.0,,16.0,15.94,Yes,Yes
192.0,Male,61.0,92567.0,59.0,,18.0,48.14,,
193.0,Male,20.0,67574.0,46.0,55.0,17.0,17.47,Yes,Yes
194.0,Male,39.0,143978.0,3.0,73.0,17.0,17.39,No,No
195.0,Male,,145204.0,55.0,239.0,,29.82,No,Yes
196.0,Female,19.0,111051.0,12.0,258.0,11.0,48.55,Yes,Yes
,Female,,122020.0,40.0,255.0,,49.16,,
198.0,Female,61.0,56182.0,66.0,,10.0,29.02,No,
199.0,Male,19.0,,78.0,166.0,29.0,0.15,No,No
200.0,Male,55.0,20570.0,16.0,232.0,,45.04,,Yes
,Male,34.0,117790.0,,199.0,2.0,28.55,,Yes
202.0,Female,52.0,39288.0,34.0,61.0,17.0,18.36,,Yes
203.0,Male,51.0,98824.0,44.0,97.0,22.0,41.48,Yes,Yes
204.0,Male,40.0,49877.0,,75.0,20.0,20.05,Yes,No
205.0,Female,47.0,104425.0,77.0,159.0,,1.8,,No
206.0,Male,69.0,20917.0,64.0,29.0,13.0,,No,Yes
207.0,Female,25.0,95602.0,22.0,42.0,12.0,27.34,Yes,Yes
208.0,Female,39.0,115040.0,18.0,290.0,15.0,16.97,Yes,No
209.0,Female,61.0,84575.0,12.0,55.0,7.0,,Yes,No
,Male,53.0,92518.0,52.0,82.0,27.0,,Yes,Yes
211.0,,22.0,142115.0,94.0,142.0,22.0,10.48,No,Yes
212.0,Male,30.0,59104.0,51.0,64.0,21.0,16.26,No,Yes
213.0,Male,46.0,38062.0,71.0,70.0,26.0,,,No
214.0,Male,48.0,36999.0,96.0,17.0,28.0,,No,
215.0,Male,64.0,81845.0,48.0,281.0,13.0,26.69,Yes,No
216.0,Male,33.0,29941.0,19.0,255.0,12.0,,Yes,No
217.0,Female,59.0,81169.0,,,12.0,38.18,No,Yes
218.0,Male,47.0,43470.0,,125.0,28.0,33.25,Yes,
219.0,Female,,149744.0,27.0,280.0,2.0,12.37,No,No
,Male,29.0,130684.0,53.0,202.0,5.0,43.35,Yes,No
221.0,Male,34.0,79821.0,48.0,159.0,25.0,21.87,Yes,Yes
222.0,,33.0,,,140.0,25.0,2.31,,No
223.0,,29.0,138193.0,59.0,111.0,2.0,12.31,Yes,
,Female,25.0,64435.0,69.0,279.0,23.0,,No,No
225.0,Female,37.0,24529.0,11.0,219.0,26.0,3.55,Yes,Yes
226.0,,20.0,103055.0,15.0,76.0,,7.45,No,No
227.0,Male,33.0,32192.0,64.0,19.0,13.0,34.74,No,Yes
228.0,Female,47.0,94102.0,3.0,58.0,29.0,44.64,,
229.0,Male,62.0,92762.0,69.0,120.0,3.0,,No,No
230.0,Male,40.0,123466.0,23.0,228.0,11.0,11.19,Yes,Yes
231.0,Female,45.0,134894.0,53.0,66.0,16.0,2.77,No,No
232.0,Female,68.0,,37.0,292.0,1.0,30.79,No,Yes
,Female,57.0,54087.0,9.0,122.0,19.0,2.47,Yes,Yes
234.0,Female,22.0,86677.0,15.0,142.0,11.0,30.67,Yes,No
235.0,Female,37.0,24627.0,3.0,80.0,9.0,11.36,No,No
236.0,Female,57.0,76541.0,,92.0,14.0,45.24,Yes,Yes
237.0,Female,61.0,132805.0,70.0,66.0,9.0,,Yes,Yes
238.0,,18.0,88226.0,17.0,280.0,7.0,11.27,No,Yes
239.0,Male,47.0,125627.0,26.0,120.0,,42.67,No,Yes
,Female,38.0,23255.0,21.0,85.0,3.0,12.78,Yes,No
241.0,Female,37.0,,72.0,167.0,29.0,15.4,,Yes
242.0,Male,23.0,25213.0,21.0,29.0,19.0,41.73,,Yes
243.0,Female,39.0,122412.0,11.0,140.0,4.0,15.51,Yes,No
244.0,Male,35.0,39404.0,38.0,131.0,7.0,20.57,No,Yes
,Male,25.0,136545.0,72.0,50.0,23.0,17.45,Yes,No
246.0,,56.0,45380.0,88.0,176.0,28.0,5.91,No,No
247.0,Male,49.0,111056.0,35.0,139.0,12.0,2.04,Yes,No
248.0,Male,50.0,39173.0,14.0,32.0,18.0,36.25,Yes,Yes
,Male,33.0,148833.0,14.0,288.0,28.0,32.29,Yes,No
250.0,Male,,73027.0,10.0,260.0,5.0,14.19,No,No
,,55.0,43989.0,12.0,18.0,23.0,14.85,No,No
252.0,Male,69.0,128106.0,38.0,22.0,23.0,47.26,Yes,
253.0,Female,51.0,44519.0,,61.0,22.0,49.38,No,Yes
254.0,Male,31.0,145803.0,41.0,218.0,26.0,23.72,No,Yes
255.0,,53.0,42439.0,10.0,47.0,,40.14,Yes,Yes
256.0,Male,50.0,138570.0,17.0,109.0,12.0,36.86,No,No
257.0,Male,40.0,96949.0,17.0,202.0,8.0,14.94,,No
258.0,Female,67.0,34995.0,67.0,,19.0,3.02,No,No
259.0,,62.0,43559.0,62.0,60.0,15.0,7.21,Yes,Yes
260.0,Male,19.0,148028.0,95.0,150.0,1.0,41.93,Yes,No
261.0,Male,58.0,130887.0,1.0,177.0,3.0,36.59,No,Yes
262.0,Female,38.0,109049.0,12.0,118.0,27.0,33.25,Yes,Yes
263.0,Male,19.0,25021.0,4.0,216.0,18.0,6.62,No,Yes
264.0,Male,44.0,,42.0,119.0,18.0,32.03,Yes,No
265.0,Male,26.0,41119.0,13.0,205.0,2.0,38.63,No,
266.0,Female,18.0,71539.0,98.0,161.0,5.0,43.04,Yes,Yes
267.0,Female,28.0,114835.0,85.0,,29.0,0.76,No,No
,Female,20.0,59350.0,,137.0,1.0,34.26,,
269.0,Male,69.0,66223.0,4.0,114.0,10.0,1.05,,No
270.0,Male,40.0,45517.0,82.0,19.0,20.0,35.37,Yes,Yes
,Female,43.0,98653.0,69.0,,10.0,31.82,Yes,Yes
,Female,21.0,42250.0,,149.0,5.0,7.5,Yes,Yes
,Female,35.0,104486.0,2.0,199.0,18.0,38.33,,No
274.0,,23.0,,12.0,103.0,21.0,3.51,No,
275.0,Male,52.0,109132.0,81.0,238.0,26.0,41.34,,No
276.0,Female,,111066.0,74.0,,15.0,13.17,Yes,No
277.0,Male,60.0,86798.0,98.0,34.0,20.0,34.47,,No
278.0,Female,32.0,74199.0,6.0,277.0,8.0,46.19,Yes,Yes
,Male,39.0,143823.0,8.0,290.0,17.0,17.06,Yes,No
280.0,,54.0,79546.0,,20.0,12.0,25.19,Yes,Yes
281.0,Female,69.0,148180.0,11.0,210.0,21.0,23.21,No,
282.0,Female,59.0,,63.0,,27.0,7.96,Yes,No
,Female,29.0,108151.0,57.0,199.0,12.0,29.56,,
284.0,Male,64.0,23327.0,12.0,98.0,26.0,37.18,No,Yes
285.0,,66.0,140318.0,73.0,125.0,1.0,45.85,Yes,No
286.0,Male,,49768.0,2.0,186.0,26.0,42.56,No,Yes
287.0,,55.0,84418.0,8.0,23.0,26.0,25.55,Yes,
288.0,Male,35.0,114386.0,11.0,266.0,4.0,35.98,Yes,Yes
289.0,,62.0,,,218.0,8.0,,No,Yes
290.0,Female,52.0,62788.0,10.0,290.0,1.0,24.73,Yes,Yes
291.0,,47.0,135945.0,85.0,,27.0,5.86,Yes,Yes
292.0,Male,41.0,102384.0,84.0,156.0,15.0,21.95,Yes,No
293.0,Male,59.0,66830.0,8.0,288.0,18.0,42.14,No,No
294.0,Female,47.0,72446.0,36.0,18.0,1.0,,No,Yes
295.0,Female,31.0,125078.0,93.0,,11.0,36.25,,No
296.0,Female,,35160.0,76.0,103.0,23.0,9.34,Yes,Yes
297.0,Female,20.0,76583.0,14.0,153.0,,,Yes,No
298.0,Male,33.0,,54.0,298.0,1.0,20.26,No,No
299.0,Male,24.0,47230.0,85.0,23.0,12.0,32.72,No,No
300.0,Female,69.0,29076.0,86.0,266.0,16.0,,No,Yes
301.0,,31.0,89341.0,21.0,195.0,22.0,6.45,No,No
302.0,Male,,51085.0,50.0,216.0,22.0,39.12,,Yes
303.0,Male,32.0,75571.0,94.0,181.0,,,Yes,No
304.0,Female,38.0,34715.0,39.0,279.0,18.0,16.07,No,Yes
,Female,52.0,,20.0,230.0,15.0,1.96,Yes,No
306.0,Male,19.0,25750.0,88.0,161.0,17.0,18.11,Yes,Yes
307.0,Female,44.0,133931.0,87.0,120.0,,0.97,Yes,Yes
308.0,Female,19.0,98768.0,7.0,192.0,3.0,9.7,Yes,Yes
309.0,Female,52.0,138544.0,9.0,81.0,,37.65,No,No
310.0,,35.0,55903.0,1.0,292.0,,46.86,Yes,Yes
,Female,31.0,92489.0,26.0,83.0,16.0,4.46,No,No
312.0,Male,37.0,52093.0,38.0,224.0,6.0,27.94,,Yes
313.0,Female,35.0,,38.0,,3.0,12.77,No,Yes
314.0,Male,27.0,107954.0,61.0,77.0,9.0,7.04,No,Yes
315.0,Male,42.0,139277.0,44.0,102.0,11.0,11.03,Yes,No
316.0,Female,19.0,54314.0,86.0,72.0,21.0,28.93,No,No
317.0,Male,,68225.0,44.0,233.0,13.0,3.35,,No
318.0,Male,50.0,,74.0,234.0,18.0,21.77,No,No
319.0,Male,53.0,103014.0,62.0,112.0,26.0,6.85,Yes,No
320.0,Female,48.0,55179.0,6.0,224.0,22.0,13.71,Yes,No
321.0,Female,31.0,,17.0,201.0,,9.62,No,No
322.0,Male,18.0,132417.0,51.0,169.0,24.0,,No,Yes
323.0,Female,63.0,45338.0,38.0,,27.0,35.43,Yes,Yes
324.0,Female,33.0,112435.0,24.0,,22.0,43.44,Yes,No
,Female,63.0,89681.0,51.0,203.0,4.0,19.23,No,No
326.0,Female,69.0,52101.0,10.0,161.0,22.0,15.74,Yes,No
327.0,Male,20.0,22775.0,72.0,246.0,24.0,19.09,Yes,
328.0,Male,52.0,131497.0,21.0,97.0,8.0,1.03,Yes,
329.0,Female,58.0,117183.0,70.0,20.0,13.0,36.26,No,Yes
330.0,,23.0,65619.0,85.0,196.0,10.0,17.55,Yes,No
331.0,Male,42.0,65838.0,57.0,223.0,2.0,15.73,Yes,No
332.0,Male,30.0,141316.0,39.0,24.0,8.0,,No,
333.0,Female,51.0,39539.0,88.0,275.0,6.0,21.87,Yes,Yes
334.0,Male,25.0,,33.0,,16.0,49.04,Yes,Yes
335.0,Female,38.0,77124.0,59.0,61.0,18.0,17.88,Yes,Yes
336.0,Female,,85149.0,18.0,137.0,17.0,30.73,Yes,Yes
337.0,Male,21.0,,56.0,37.0,6.0,15.65,No,No
338.0,Male,42.0,99655.0,92.0,,13.0,49.53,Yes,Yes
339.0,Female,32.0,,57.0,26.0,23.0,22.31,Yes,Yes
340.0,Female,21.0,74567.0,96.0,147.0,14.0,31.74,Yes,Yes
341.0,Male,62.0,57099.0,76.0,238.0,26.0,6.42,Yes,Yes
342.0,Female,29.0,95831.0,48.0,263.0,21.0,36.68,Yes,Yes
343.0,Male,49.0,120246.0,42.0,219.0,,13.53,No,No
344.0,Female,49.0,,27.0,,,22.49,,Yes
345.0,Male,,140714.0,74.0,250.0,11.0,44.17,Yes,Yes
346.0,Male,30.0,110221.0,52.0,,13.0,,,
347.0,Male,48.0,134879.0,,113.0,12.0,21.29,No,No
348.0,Female,31.0,45479.0,32.0,,9.0,41.76,,
349.0,Female,37.0,66172.0,26.0,62.0,4.0,2.76,No,No
350.0,Male,35.0,119165.0,25.0,63.0,7.0,42.39,Yes,No
351.0,Female,46.0,75863.0,,285.0,24.0,,Yes,No
,Male,23.0,,23.0,,29.0,24.49,,No
353.0,Male,49.0,102569.0,98.0,144.0,22.0,44.51,Yes,No
354.0,Female,46.0,,57.0,67.0,2.0,42.28,Yes,No
355.0,Female,60.0,130107.0,52.0,114.0,,14.92,Yes,Yes
356.0,Male,19.0,35408.0,87.0,275.0,29.0,39.6,No,Yes
357.0,Female,40.0,142275.0,93.0,19.0,9.0,5.06,No,No
358.0,Female,36.0,77980.0,31.0,262.0,5.0,41.16,Yes,
359.0,Male,48.0,,64.0,165.0,15.0,,Yes,
360.0,Male,68.0,36351.0,,167.0,18.0,4.48,Yes,Yes
361.0,Female,22.0,24131.0,33.0,46.0,4.0,34.19,No,Yes
,Male,36.0,136836.0,85.0,128.0,19.0,29.07,No,No
363.0,Male,51.0,64825.0,2.0,76.0,,29.77,No,Yes
364.0,Female,27.0,31349.0,18.0,,26.0,14.61,No,No
365.0,Male,42.0,80931.0,47.0,222.0,7.0,13.4,Yes,No
366.0,Male,19.0,64254.0,33.0,110.0,26.0,38.15,,
367.0,Female,28.0,58225.0,98.0,65.0,8.0,12.91,No,
368.0,Female,67.0,124383.0,84.0,248.0,,22.37,Yes,
369.0,Male,48.0,32453.0,35.0,240.0,13.0,34.77,Yes,Yes
370.0,Male,32.0,38814.0,51.0,101.0,24.0,4.07,Yes,
371.0,Female,,38263.0,18.0,288.0,21.0,,No,
372.0,Female,40.0,97694.0,,,28.0,29.51,,No
373.0,Female,36.0,35735.0,72.0,177.0,23.0,34.24,,No
374.0,Female,,35830.0,30.0,227.0,,18.56,No,No
375.0,,52.0,67893.0,44.0,231.0,27.0,,,Yes
376.0,Female,38.0,64673.0,53.0,170.0,1.0,16.57,No,No
377.0,Female,26.0,147006.0,10.0,25.0,2.0,40.43,Yes,Yes
,Male,45.0,109462.0,87.0,287.0,17.0,6.62,Yes,No
,Female,63.0,65066.0,52.0,66.0,5.0,48.15,No,
380.0,Male,68.0,120315.0,49.0,71.0,6.0,,Yes,Yes
381.0,Female,24.0,23373.0,11.0,251.0,26.0,44.36,No,Yes
382.0,Female,33.0,30335.0,66.0,99.0,25.0,21.37,No,Yes
383.0,Female,33.0,43741.0,58.0,81.0,24.0,,Yes,
384.0,,50.0,30692.0,90.0,39.0,7.0,45.05,Yes,No
385.0,Male,21.0,67295.0,36.0,,28.0,5.03,No,Yes
386.0,Female,,65541.0,33.0,95.0,21.0,5.94,Yes,No
387.0,Male,56.0,,47.0,243.0,,15.04,No,Yes
388.0,Male,57.0,86983.0,13.0,244.0,,47.99,Yes,No
389.0,Male,34.0,39583.0,,274.0,16.0,31.69,No,Yes
390.0,Male,,42765.0,89.0,296.0,25.0,27.75,,Yes
391.0,Male,56.0,,68.0,278.0,13.0,35.3,Yes,No
392.0,Male,69.0,43906.0,42.0,195.0,5.0,20.93,Yes,No
393.0,Female,,140747.0,19.0,140.0,3.0,37.93,No,Yes
394.0,Female,69.0,,82.0,286.0,3.0,19.72,Yes,Yes
395.0,Male,53.0,99675.0,94.0,189.0,19.0,41.34,Yes,No
396.0,Female,55.0,66525.0,19.0,,14.0,13.44,No,Yes
397.0,Female,56.0,58230.0,58.0,172.0,16.0,13.95,No,
